案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191B3786,20210130,120.230025,22.97025,交通事故,交叉路口,臺南市東區崇德十五街段號崇德十二街76,3,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B3788,20210130,120.217842,22.9923,交通事故,交叉路口,臺南市東區勝利路段號東寧路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B3789,20210130,120.221613,22.984876,交通事故,交叉路口,臺南市東區林森路1段號崇仁街,1,晴,40,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B3823,20210123,120.231471,22.988901,交通事故,交叉路口,臺南市東區東寧路段號東寧路538,2,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC191B3832,20210120,120.23434,22.996409,交通事故,一般地址,臺南市東區中華東路1段66號,1,晴,50,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC191B3834,20210107,120.232255,22.96701,交通事故,交叉路口,臺南市東區崇善東路段號崇善路,2,晴,50,交岔路,交叉路口,行車管制號誌,車與車,倒車未依規定
11001AC191B3859,20210108,120.247417,22.978229,交通事故,其他,臺南市東區段號裕孝三街與裕敬五街口,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC191B3860,20210108,120.234094,22.978926,交通事故,其他,臺南市東區段號富農街一段23-3號前,1,晴,30,單路部分,路段,無號誌,車與車,其他引起事故之故障
11001AC191B3868,20210116,120.22324,22.979721,交通事故,其他,臺南市東區段號崇學路(崇學國小前),2,晴,40,單路部分,路段,行車管制號誌(附設行人專用號誌),車與車,未注意車前狀態
11001AC191B3878,20210130,120.232826,22.971688,交通事故,其他,臺南市東區段號仁和路與仁東街口,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,左轉彎未依規定
11001AC191B3880,20210115,120.211839,22.994591,交通事故,交叉路口,臺南市東區北門路段號民族路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
